SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-25-2018,Condo/Co-op,47 Lourdes Ave #2,Boston,MA,02130,635000,3,2.0,Jamaica Plain,1106,1106,2004,72,574,251,Sold,,,http://www.redfin.com/MA/Boston/47-Lourdes-Ave-02130/unit-2/home/9324709,MLS PIN,72307495,N,Y,42.3065002,-71.1032867
PAST SALE,June-22-2018,Multi-Family (2-4 Unit),1398 River St,Boston,MA,02136,1075000,9,3.0,Hyde Park's Fairmount,4308,6457,1910,44,250,,Sold,,,http://www.redfin.com/MA/Hyde-Park/1398-River-St-02136/home/9130296,MLS PIN,72324609,N,Y,42.2538898,-71.1287675
PAST SALE,July-24-2018,Condo/Co-op,70 Lincoln St Unit L616,Boston,MA,02111,660000,1,1.0,Boston,753,753,2006,12,876,467,Sold,,,http://www.redfin.com/MA/Boston/70-Lincoln-St-02111/unit-L616/home/12440001,MLS PIN,72335497,N,Y,42.351981,-71.0577947
PAST SALE,June-1-2018,Condo/Co-op,505 E 5th St #1,Boston,MA,02127,525000,2,1.0,Boston,606,606,1905,65,866,146,Sold,,,http://www.redfin.com/MA/Boston/505-E-5th-St-02127/unit-1/home/21717365,MLS PIN,72309697,N,Y,42.3336849,-71.0406236
PAST SALE,May-16-2018,Condo/Co-op,85 E India Row Unit 14G,Boston,MA,02110,935000,2,1.5,Boston,1213,1213,1972,81,771,890,Sold,,,http://www.redfin.com/MA/Boston/85-E-India-Row-02110/unit-14G/home/9261475,MLS PIN,72259167,N,Y,42.3581217,-71.0498232
PAST SALE,June-8-2018,Single Family Residential,59 Paragon Rd,Boston,MA,02132,470000,3,1.5,West Roxbury,1152,4020,1965,58,408,,Sold,,,http://www.redfin.com/MA/West-Roxbury/59-Paragon-Rd-02132/home/9219281,MLS PIN,72308585,N,Y,42.2688868,-71.1640449
PAST SALE,August-1-2018,Condo/Co-op,162 Brush Hill Rd #2,Milton,MA,02186,449000,4,2.0,Milton,2008,,1918,4,224,375,Sold,,,http://www.redfin.com/MA/Milton/162-Brush-Hill-Rd-02186/unit-2/home/145793981,MLS PIN,72333591,N,Y,42.2607628,-71.0993944
PAST SALE,June-12-2018,Condo/Co-op,47 Saint Botolph St #301,Boston,MA,02116,870000,2,2.0,Back Bay,1038,1038,1899,54,838,320,Sold,,,http://www.redfin.com/MA/Boston/47-St-Botolph-St-02116/unit-301/home/9306697,MLS PIN,72310262,N,Y,42.3463502,-71.0794031
PAST SALE,June-26-2018,Single Family Residential,9 Cypress St,Boston,MA,02132,510000,3,1.5,Boston,1176,5977,1940,40,434,,Sold,,,http://www.redfin.com/MA/West-Roxbury/9-Cypress-St-02132/home/9218152,MLS PIN,72319151,N,Y,42.2747669,-71.1675724
PAST SALE,July-27-2018,Condo/Co-op,57 Bartlett St #4,Boston,MA,02129,675000,2,1.0,Charlestown,730,,2001,9,925,233,Sold,,,http://www.redfin.com/MA/Boston/57-Bartlett-St-02129/unit-4/home/9310211,MLS PIN,72328478,N,Y,42.3783076,-71.0636353
PAST SALE,June-20-2018,Condo/Co-op,37 Fairmont St #3,Cambridge,MA,02139,748000,2,2.0,Cambridge,1019,,1930,46,734,250,Sold,,,http://www.redfin.com/MA/Boston/37-Fairmount-St-02124/unit-3/home/11604078,MLS PIN,72307352,N,Y,42.2810395,-71.0730369
PAST SALE,July-19-2018,Condo/Co-op,319 Allston St #6,Boston,MA,02135,390000,1,1.0,Brighton,557,557,1920,17,700,348,Sold,,,http://www.redfin.com/MA/Boston/319-Allston-St-02135/unit-6/home/9016805,MLS PIN,72340746,N,Y,42.3438074,-71.141894
PAST SALE,July-13-2018,Condo/Co-op,151 P St #1,Boston,MA,02127,1015000,4,3.0,South Boston,2162,2162,1926,23,469,265,Sold,,,http://www.redfin.com/MA/Boston/151-P-St-02127/unit-1/home/12296070,MLS PIN,72311811,N,Y,42.3329791,-71.0273475
PAST SALE,June-29-2018,Condo/Co-op,14 Royal St #2,Boston,MA,02134,915000,6,3.0,Allston,2320,,1900,37,394,250,Sold,,,http://www.redfin.com/MA/Boston/14-Royal-St-02134/unit-2/home/145670005,MLS PIN,72328977,N,Y,42.3572964,-71.1299744
PAST SALE,May-31-2018,Condo/Co-op,40 Saint Botolph St #27,Boston,MA,02116,535000,1,1.0,Back Bay,364,364,1925,66,1470,286,Sold,,,http://www.redfin.com/MA/Boston/40-Saint-Botolph-St-02116/unit-27/home/145984155,MLS PIN,72307251,N,Y,42.3462169,-71.0787937
PAST SALE,June-28-2018,Single Family Residential,19 Church St,Boston,MA,02136,470000,3,2.0,Hyde Park,1767,5663,1950,38,266,,Sold,,,http://www.redfin.com/MA/Hyde-Park/19-Church-St-02136/home/11835618,MLS PIN,72309944,N,Y,42.2492018,-71.1324811
