SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,75 Highland St #3,Boston,MA,02119,474900,2,1.0,Roxbury,900,900,1900,3,528,175,Active,,,http://www.redfin.com/MA/Boston/75-Highland-St-02119/unit-3/home/9314671,MLS PIN,72372631,N,Y,42.3272819,-71.0929706
MLS Listing,,Condo/Co-op,5 Eldridge Rd #2,Boston,MA,02130,349000,1,1.0,Boston,773,773,1920,3,451,200,Active,,,http://www.redfin.com/MA/Boston/5-Eldridge-Rd-02130/unit-2/home/11837521,MLS PIN,72372500,N,Y,42.2921738,-71.1172037
MLS Listing,,Single Family Residential,17 Paradise Ln,Dedham,MA,02026,699000,5,2.5,Dedham,2326,6510,2014,4,301,,Active,,,http://www.redfin.com/MA/Dedham/17-Paradise-Ln-02026/home/21781765,MLS PIN,72371503,N,Y,42.2432489,-71.1447356
MLS Listing,,Townhouse,110 Park St #1,Boston,MA,02132,649000,3,2.0,West Roxbury,1424,,2015,11,456,234,Active,,,http://www.redfin.com/MA/Boston/110-Park-St-02132/unit-1/home/103220012,MLS PIN,72368202,N,Y,42.2847949,-71.1554579
MLS Listing,,Condo/Co-op,111 Perkins St #101,Boston,MA,02130,399000,1,1.0,Jamaica Plain,845,174782,1964,17,472,948,Active,,,http://www.redfin.com/MA/Boston/111-Perkins-St-02130/unit-101/home/104214693,MLS PIN,72365517,N,Y,42.3222155,-71.1159742
MLS Listing,,Townhouse,1 Hadley St Unit 1C,Boston,MA,02129,774900,3,2.5,Charlestown's Sullivan Square,1676,,2011,26,462,171,Active,,,http://www.redfin.com/MA/Boston/1-Hadley-St-02129/unit-1C/home/45407139,MLS PIN,72359113,N,Y,42.3829123,-71.0797775
MLS Listing,,Condo/Co-op,35 Gates St #1,Boston,MA,02127,779900,3,2.0,South Boston,1454,1454,1890,46,536,294,Active,,,http://www.redfin.com/MA/Boston/35-Gates-St-02127/unit-1/home/11738296,MLS PIN,72349757,N,Y,42.3327034,-71.0484744
MLS Listing,,Condo/Co-op,61 Revere St #1,Boston,MA,02114,724900,1,1.5,Beacon Hill,817,817,1902,52,887,218,Active,August-6-2018 06:00 PM,August-6-2018 07:30 PM,http://www.redfin.com/MA/Boston/61-Revere-St-02114/unit-1/home/9257338,MLS PIN,72346099,N,Y,42.3596124,-71.0684823
MLS Listing,,Condo/Co-op,40 Fay St #407,Boston,MA,02118,647000,0,1.0,Boston,648,648,2006,54,998,404,Active,,,http://www.redfin.com/MA/Boston/40-Fay-St-02118/unit-407/home/21717899,MLS PIN,72344413,N,Y,42.3431379,-71.066272
Redfin Data,,Condo/Co-op,"23 Margaret Street, Unit 1",Boston,MA,02113,689999,3,1.0,Boston,792,,1905,3,871,,Pre On-Market,,,http://www.redfin.com/MA/Boston/23-Margaret-St-02113/unit-1/home/11838873,Coming Soon,18192,N,Y,42.3659971,-71.0554603
